Symbol,Name,Gross Margin TTM,Operating Margin TTM,Pretax Margin TTM,Net Margin TTM,FCF Margin TTM,ROA TTM,ROE TTM,ROIC TTM,RAD Ratio TTM,SGAA Ratio TTM
1JANATAMF,First Janata Bank Mutual Fund Units,,,,,,,,,,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,,,,,,,,,,
OLYMPIC,Olympic Industries PLC.,22.9906504210249,6.61857189884453,8.40159772337073,6.62573718809609,11.542587082031657,12.0708861643198,16.4980374455881,16.3819569891631,,16.37207852218042
ONEBANKPLC,One Bank PLC,,1.5393017224595,1.49871661247269,2.96925888013859,-0.9700744998453383,0.306443167995714,4.53705335063375,2.18129756397052,,
ORIONINFU,Orion Infusion Ltd.,41.5302485027779,12.4545746246353,7.16977945891077,6.10650530432561,0.25334757955192283,4.9798499316544,13.2203814339245,12.8998169918015,,29.06255137089117
ORIONPHARM,Orion Pharma Ltd.,28.9983302028383,9.07285013363716,0.323986980827393,-1.76649902582603,-15.807135003538889,-0.204517851815639,-0.513166970422792,-0.254816926056826,,19.925480069201186
PADMALIFE,Padma Islami Life Insurance Ltd.,,,,,,,,,,
PADMAOIL,Padma Oil PLC,3.60227267842135,1.25455610645962,8.1103225028381,6.33693848043452,9.189400531004729,3.66440786099644,23.6234205936607,23.4381731625336,,2.347716571961717
PARAMOUNT,Paramount Insurance PLC.,,28.006673360225,28.001338640429,21.6653904271353,32.4933986949546,4.41791730150711,7.12409383755569,7.12409383755569,,
PDL,Pacific Denims Ltd.,,,,,,,,,,
PENINSULA,The Peninsula Chittagong PLC,24.6838685919792,7.47897759076937,-25.0852086813123,-33.4718574054019,-188.9266887753993,-1.84000363207639,-3.83915863792199,-2.96018535486415,,17.20489100120984
PEOPLESINS,Peoples Insurance Company Limited,,27.8426825060031,27.8426823790953,18.8370175558843,24.876211866508974,4.99811665014955,9.12968622308952,9.12968622308952,,
PF1STMF,Phoenix Finance 1st Mutual Fund Units,,,,,,,,,,
PHARMAID,Pharma Aids Limited.,28.0047819859337,17.8345484928509,17.826554284879,12.7360757977879,-4.636045634473531,10.2116418201967,14.1359093298399,14.1359093298399,,10.17023349308274
PHENIXINS,Phoenix Insurance Co. Ltd.,,14.170743170264,14.170743170264,12.3806679261986,-7.575755796976563,2.7585156156363,4.11580298486257,4.11580298486257,,
PHOENIXFIN,Phoenix Finance and Investments Ltd.,,,,,,,,,,
PHPMF1,PHP First Mutual Fund Units 2010-,,,,,,,,,,
PIONEERINS,Pioneer Insurance Co Ltd,,31.6488138483987,31.6488138483987,23.3895651335016,19.03535544385514,7.19877212609357,9.98780670527129,9.98780670527129,,
PLFSL,Peoples Leasing and Financial Services Ltd.,-11592.1209523812,-11892.0908200006,-11892.0908200006,-11896.0550377789,,,,,,
POPULAR1MF,Popular Life First Mutual Fund Units 2010-,,,,,,,,,,
POPULARLIF,Popular Life Insurance Co. Ltd.,,,,,,,,,,
POWERGRID,Power Grid Co. of Bangladesh Ltd.,43.8035868521522,41.3243796199122,-28.4898630968343,-22.9667692160845,-230.55192607189164,-1.03370478925774,-12.2874796006958,-1.41098138502658,,2.4270848256197257
PRAGATIINS,Pragati Insurance Limited,,34.5676734629144,34.5676734006899,25.7938940410988,5.792636110476525,6.70205745826254,10.0769678051718,10.0769678051718,,
PRAGATILIF,Pragati Life Insurance PLC,,,,,,,,,,
PREMIERBAN,The Premier Bank PLC,,,,,,,,,,
